age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
29,blue-collar,married,secondary,no,23,yes,no,unknown,14,219,4,-1,0,unknown,no
23,student,single,secondary,no,922,no,no,cellular,25,242,1,85,8,failure,no
47,blue-collar,married,secondary,no,116,yes,no,unknown,8,376,2,-1,0,unknown,no
33,blue-collar,married,primary,no,716,yes,no,unknown,7,83,3,-1,0,unknown,no
40,unemployed,married,primary,no,1908,yes,no,cellular,5,1661,2,-1,0,unknown,yes
56,technician,divorced,secondary,no,0,no,no,cellular,26,471,8,-1,0,unknown,no
32,admin.,single,secondary,no,708,no,no,unknown,9,109,1,-1,0,unknown,no
40,technician,married,secondary,no,257,yes,no,unknown,16,731,4,-1,0,unknown,no
56,services,married,secondary,no,2658,yes,no,unknown,15,302,1,-1,0,unknown,no
57,technician,married,secondary,no,16063,yes,no,unknown,30,352,3,-1,0,unknown,no
58,admin.,divorced,secondary,no,3337,yes,no,telephone,8,369,2,690,3,failure,yes
45,blue-collar,married,unknown,no,0,no,no,cellular,4,408,1,-1,0,unknown,no
43,blue-collar,married,secondary,no,1149,no,no,telephone,29,237,2,-1,0,unknown,no
33,management,single,tertiary,no,4409,no,no,cellular,20,92,2,-1,0,unknown,no
43,admin.,married,secondary,no,2271,no,no,telephone,10,524,1,-1,0,unknown,yes
32,technician,married,tertiary,no,43,no,no,cellular,22,154,5,-1,0,unknown,no
60,admin.,married,secondary,no,3043,no,no,cellular,19,235,3,-1,0,unknown,no
41,services,single,secondary,no,323,yes,no,unknown,15,122,6,-1,0,unknown,no
27,blue-collar,single,secondary,yes,-3,yes,no,unknown,19,265,5,-1,0,unknown,no
31,self-employed,single,tertiary,no,1815,no,no,telephone,9,1541,1,-1,0,unknown,yes
29,blue-collar,married,secondary,no,321,yes,yes,cellular,2,102,2,-1,0,unknown,no
29,blue-collar,single,secondary,no,415,no,yes,cellular,28,161,1,-1,0,unknown,no
35,admin.,married,secondary,no,907,no,yes,unknown,2,97,4,-1,0,unknown,no
32,services,married,secondary,no,204,yes,yes,unknown,20,307,3,-1,0,unknown,no
43,blue-collar,married,primary,no,-25,yes,no,cellular,12,254,4,365,2,failure,no
50,management,married,tertiary,no,0,yes,no,unknown,6,243,7,-1,0,unknown,no
59,retired,married,primary,no,0,yes,no,unknown,26,104,7,-1,0,unknown,no
46,management,divorced,tertiary,no,6269,yes,no,telephone,18,249,3,112,2,failure,no
36,blue-collar,married,secondary,no,-195,yes,no,unknown,13,229,1,-1,0,unknown,no
32,management,married,tertiary,no,1570,no,no,cellular,4,156,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,4380,no,no,telephone,19,223,7,-1,0,unknown,no
35,management,married,tertiary,no,4038,yes,yes,unknown,27,160,6,-1,0,unknown,no
41,blue-collar,single,secondary,no,495,yes,no,cellular,20,379,2,-1,0,unknown,no
33,management,single,tertiary,no,373,no,yes,cellular,27,259,1,-1,0,unknown,no
51,retired,married,secondary,no,2127,yes,no,unknown,5,172,1,-1,0,unknown,no
31,unemployed,married,secondary,no,314,yes,no,cellular,20,1341,3,178,7,failure,yes
47,blue-collar,married,secondary,no,292,no,no,cellular,10,277,1,-1,0,unknown,yes
39,blue-collar,married,primary,no,1564,no,no,unknown,17,57,1,-1,0,unknown,no
42,blue-collar,divorced,secondary,no,-135,yes,no,unknown,13,15,11,-1,0,unknown,no
48,management,married,tertiary,no,0,no,yes,cellular,19,204,4,182,1,success,yes
39,blue-collar,married,primary,no,477,yes,yes,cellular,21,229,2,-1,0,unknown,no
49,entrepreneur,divorced,primary,yes,-736,no,no,cellular,31,305,6,-1,0,unknown,no
35,blue-collar,single,secondary,no,0,yes,no,cellular,16,1174,1,345,4,other,yes
29,services,single,secondary,no,-32,no,yes,cellular,8,510,1,-1,0,unknown,no
33,entrepreneur,single,tertiary,no,75,yes,no,cellular,14,126,3,-1,0,unknown,no
27,admin.,married,secondary,no,-435,no,no,unknown,3,935,2,-1,0,unknown,no
62,retired,married,secondary,no,569,no,no,cellular,4,288,1,1,8,success,yes
30,technician,single,secondary,no,1572,yes,yes,unknown,23,209,3,-1,0,unknown,no
46,services,married,primary,no,599,no,no,cellular,22,257,2,-1,0,unknown,no
39,management,married,tertiary,no,-17,yes,yes,cellular,28,908,1,-1,0,unknown,yes
35,blue-collar,single,primary,no,1147,yes,yes,telephone,7,29,1,-1,0,unknown,no
48,blue-collar,married,primary,no,281,yes,no,unknown,19,100,3,-1,0,unknown,no
53,technician,married,secondary,no,1357,yes,no,cellular,20,123,2,-1,0,unknown,no
27,blue-collar,married,primary,no,60,yes,no,unknown,3,550,1,-1,0,unknown,no
59,housemaid,married,secondary,no,345,no,no,unknown,9,38,1,-1,0,unknown,no
39,admin.,divorced,secondary,no,7,yes,no,cellular,2,550,1,-1,0,unknown,no
38,admin.,single,tertiary,no,3954,yes,no,cellular,10,201,1,182,3,failure,no
68,retired,divorced,primary,no,250,no,no,cellular,3,360,1,-1,0,unknown,yes
38,management,single,tertiary,no,0,no,no,cellular,29,95,2,-1,0,unknown,no
31,technician,married,secondary,no,522,yes,yes,cellular,27,308,4,-1,0,unknown,no
39,unemployed,married,secondary,no,1309,yes,no,cellular,4,587,2,-1,0,unknown,no
53,technician,married,tertiary,no,9001,no,no,cellular,5,170,1,-1,0,unknown,yes
40,entrepreneur,married,secondary,no,0,yes,yes,unknown,15,435,1,-1,0,unknown,no
29,technician,single,secondary,no,156,yes,no,cellular,8,111,4,347,3,other,no
27,blue-collar,married,secondary,no,-330,yes,yes,cellular,14,88,1,353,2,failure,no
52,technician,married,secondary,no,0,no,no,cellular,2,541,3,-1,0,unknown,yes
32,technician,single,tertiary,no,4071,no,no,cellular,30,319,2,-1,0,unknown,yes
33,entrepreneur,married,secondary,no,0,yes,yes,unknown,8,982,1,-1,0,unknown,no
36,entrepreneur,married,primary,no,6317,no,no,unknown,12,478,2,-1,0,unknown,no
37,admin.,married,secondary,no,0,yes,no,unknown,20,26,6,-1,0,unknown,no
49,self-employed,married,tertiary,no,8142,no,no,telephone,18,500,1,-1,0,unknown,no
59,retired,married,primary,no,2632,no,no,cellular,3,123,1,-1,0,unknown,no
45,blue-collar,married,secondary,no,1678,yes,no,unknown,18,187,1,154,1,failure,no
31,technician,married,secondary,no,0,no,no,cellular,20,102,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,0,yes,yes,cellular,20,123,3,-1,0,unknown,no
52,management,married,primary,no,324,no,no,cellular,9,81,1,-1,0,unknown,no
33,admin.,single,secondary,no,315,yes,yes,cellular,14,888,3,-1,0,unknown,yes
61,retired,divorced,secondary,no,1761,no,no,cellular,7,334,3,-1,0,unknown,no
30,admin.,single,secondary,no,1450,yes,no,cellular,18,298,1,355,1,failure,no
37,management,married,tertiary,no,-70,yes,no,cellular,25,386,2,-1,0,unknown,no
35,management,divorced,secondary,no,910,no,no,cellular,29,77,14,-1,0,unknown,no
60,technician,married,secondary,no,358,no,no,cellular,2,95,1,216,2,failure,no
47,housemaid,divorced,secondary,no,1453,no,no,unknown,12,303,1,-1,0,unknown,no
67,retired,married,primary,no,1430,no,no,cellular,11,499,2,91,3,failure,yes
30,self-employed,married,unknown,no,1712,no,no,cellular,29,213,3,190,2,failure,no
41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,858,1,-1,0,unknown,yes
29,blue-collar,married,secondary,no,275,yes,no,cellular,18,180,1,-1,0,unknown,no
53,blue-collar,divorced,primary,no,255,yes,no,unknown,8,206,2,-1,0,unknown,no
34,technician,single,secondary,no,1161,yes,no,cellular,20,17,5,334,1,failure,no
53,blue-collar,divorced,secondary,no,-376,yes,no,cellular,9,90,2,-1,0,unknown,no
37,blue-collar,married,secondary,no,2066,yes,yes,cellular,31,34,5,-1,0,unknown,no
35,management,married,tertiary,no,11,no,no,cellular,31,22,19,-1,0,unknown,no
80,retired,married,primary,no,1468,no,no,cellular,13,330,3,-1,0,unknown,yes
27,admin.,single,secondary,no,1327,no,no,cellular,12,339,1,241,9,other,no
26,admin.,single,secondary,yes,-930,yes,no,cellular,14,786,1,-1,0,unknown,yes
28,blue-collar,married,secondary,no,-114,yes,no,unknown,21,244,2,-1,0,unknown,no
50,self-employed,married,secondary,no,5312,no,no,cellular,23,106,3,-1,0,unknown,no
53,blue-collar,married,secondary,no,3815,no,no,unknown,24,237,3,-1,0,unknown,no
57,blue-collar,married,primary,no,249,yes,no,unknown,5,164,1,-1,0,unknown,no
53,technician,divorced,secondary,no,394,no,no,cellular,25,103,5,-1,0,unknown,no
56,management,married,primary,no,-24,yes,no,unknown,7,305,3,-1,0,unknown,no
49,retired,married,unknown,no,247,no,no,unknown,15,213,2,-1,0,unknown,no
48,admin.,married,secondary,no,1131,no,yes,cellular,8,49,1,-1,0,unknown,no
60,entrepreneur,married,primary,no,987,no,no,unknown,19,102,13,-1,0,unknown,no
35,management,single,tertiary,no,1422,yes,yes,cellular,20,28,7,272,3,other,no
37,student,divorced,tertiary,no,0,no,no,telephone,30,100,6,-1,0,unknown,no
31,blue-collar,single,secondary,no,196,yes,no,cellular,5,568,1,341,7,failure,yes
45,self-employed,married,secondary,no,264,yes,no,cellular,8,113,1,360,2,failure,no
24,student,single,tertiary,no,603,yes,no,cellular,12,157,5,-1,0,unknown,no
38,management,married,unknown,no,1349,yes,no,unknown,6,100,1,-1,0,unknown,no
41,blue-collar,married,primary,no,2585,no,no,telephone,20,159,2,-1,0,unknown,no
37,management,married,tertiary,no,-113,yes,no,unknown,29,219,3,-1,0,unknown,no
34,admin.,divorced,secondary,no,25,no,no,cellular,11,666,2,-1,0,unknown,no
42,unemployed,married,tertiary,no,576,no,no,cellular,27,156,1,-1,0,unknown,yes
44,technician,married,secondary,no,7863,no,no,cellular,26,59,6,-1,0,unknown,no
52,management,married,tertiary,no,502,no,no,unknown,17,637,3,-1,0,unknown,no
60,management,married,tertiary,no,261,yes,yes,cellular,1,128,1,192,1,failure,no
24,blue-collar,single,secondary,no,0,yes,no,unknown,4,204,1,-1,0,unknown,no
33,management,single,tertiary,no,0,no,no,telephone,5,109,1,-1,0,unknown,no
29,technician,married,secondary,no,767,yes,no,cellular,5,253,1,-1,0,unknown,no
33,services,married,secondary,no,184,yes,no,unknown,13,109,4,-1,0,unknown,no
31,self-employed,married,tertiary,no,3,yes,no,cellular,29,215,4,-1,0,unknown,no
53,admin.,married,secondary,no,350,no,yes,cellular,17,113,3,132,2,failure,no
36,blue-collar,married,secondary,no,63,yes,no,unknown,2,56,8,-1,0,unknown,no
40,technician,married,secondary,no,1270,no,no,cellular,17,342,2,-1,0,unknown,no
56,services,divorced,unknown,no,1877,yes,no,unknown,30,86,1,-1,0,unknown,no
26,technician,single,tertiary,no,192,yes,no,unknown,15,477,1,-1,0,unknown,no
41,entrepreneur,married,tertiary,no,171,yes,no,unknown,12,143,4,-1,0,unknown,no
32,management,married,tertiary,no,2431,yes,no,cellular,14,646,5,-1,0,unknown,yes
46,technician,married,secondary,no,0,yes,no,cellular,19,161,2,-1,0,unknown,no
49,management,single,secondary,no,61,yes,no,cellular,29,185,2,246,1,failure,no
46,management,married,secondary,no,430,yes,no,cellular,18,91,1,-1,0,unknown,no
42,services,married,secondary,no,1376,yes,no,cellular,2,271,2,92,4,success,yes
47,technician,married,secondary,no,-59,yes,yes,cellular,11,502,1,343,2,failure,no
34,blue-collar,married,primary,no,373,yes,no,cellular,12,481,2,-1,0,unknown,no
49,admin.,married,secondary,no,0,no,no,cellular,22,115,2,-1,0,unknown,no
44,technician,married,secondary,no,11016,no,no,unknown,9,252,3,-1,0,unknown,no
36,services,divorced,secondary,no,532,yes,no,cellular,29,391,1,241,1,failure,no
53,services,divorced,secondary,no,0,no,no,cellular,12,80,2,-1,0,unknown,yes
43,management,married,tertiary,no,4923,yes,no,cellular,10,1102,1,-1,0,unknown,no
55,blue-collar,married,secondary,no,471,yes,no,unknown,30,58,2,-1,0,unknown,no
34,technician,single,secondary,no,4676,no,no,cellular,11,248,3,-1,0,unknown,no
42,management,single,tertiary,no,100,no,no,cellular,7,64,2,-1,0,unknown,no
48,management,married,tertiary,no,2218,yes,no,unknown,13,43,2,-1,0,unknown,no
49,technician,married,unknown,no,-287,yes,no,unknown,26,49,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,2932,yes,no,unknown,9,22,17,-1,0,unknown,no
35,management,single,tertiary,no,565,yes,no,unknown,30,763,1,-1,0,unknown,yes
23,management,single,unknown,no,375,yes,no,unknown,9,194,3,-1,0,unknown,no
34,management,married,tertiary,no,3696,no,no,cellular,8,758,2,160,5,other,yes
25,management,single,tertiary,no,115,no,yes,unknown,4,60,1,-1,0,unknown,no
68,retired,married,secondary,no,0,no,no,cellular,22,586,1,-1,0,unknown,yes
42,admin.,married,secondary,no,-728,yes,no,cellular,10,305,1,-1,0,unknown,no
38,unemployed,single,secondary,no,1354,yes,no,cellular,13,364,2,343,4,failure,no
53,technician,divorced,secondary,no,173,no,yes,unknown,1,157,1,-1,0,unknown,no
37,services,divorced,secondary,no,398,yes,yes,unknown,5,214,2,-1,0,unknown,no
50,technician,married,secondary,no,2972,no,no,cellular,28,73,5,-1,0,unknown,no
35,blue-collar,married,primary,no,22,yes,no,cellular,15,1190,2,302,2,other,yes
53,technician,single,secondary,yes,-435,yes,yes,unknown,16,131,2,-1,0,unknown,no
25,management,married,tertiary,no,4461,no,no,cellular,11,796,5,-1,0,unknown,yes
30,technician,divorced,secondary,no,3028,yes,no,cellular,28,65,5,-1,0,unknown,no
38,blue-collar,married,secondary,no,-3,no,yes,unknown,5,172,1,-1,0,unknown,no
31,management,married,tertiary,no,1032,no,no,cellular,7,284,1,-1,0,unknown,yes
24,services,single,secondary,no,53,yes,yes,unknown,28,226,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,8,yes,no,cellular,8,98,2,170,1,failure,no
58,blue-collar,married,primary,no,0,no,no,telephone,16,558,6,-1,0,unknown,no
53,admin.,single,secondary,no,2892,no,no,cellular,9,527,3,-1,0,unknown,yes
59,housemaid,married,primary,no,418,no,no,cellular,29,300,4,-1,0,unknown,no
49,services,divorced,secondary,no,933,no,yes,cellular,29,92,33,-1,0,unknown,no
47,management,married,tertiary,no,1884,yes,yes,cellular,19,74,2,-1,0,unknown,no
30,admin.,single,tertiary,no,0,yes,no,cellular,4,730,2,-1,0,unknown,yes
32,admin.,married,secondary,no,552,yes,no,cellular,6,98,2,-1,0,unknown,no
40,technician,divorced,tertiary,no,568,yes,no,unknown,24,112,1,-1,0,unknown,yes
58,retired,married,secondary,no,255,no,no,unknown,28,362,3,-1,0,unknown,no
31,entrepreneur,single,secondary,no,937,yes,no,cellular,9,51,3,-1,0,unknown,no
40,admin.,married,secondary,no,0,yes,yes,unknown,29,49,3,-1,0,unknown,no
34,technician,married,secondary,no,56,no,no,cellular,19,91,2,-1,0,unknown,no
59,blue-collar,divorced,secondary,no,1774,no,yes,cellular,5,14,9,-1,0,unknown,no
32,technician,married,secondary,no,6172,yes,no,cellular,4,93,1,-1,0,unknown,no
42,technician,single,secondary,yes,-1129,yes,no,unknown,2,555,5,-1,0,unknown,yes
33,services,married,secondary,no,34,yes,yes,unknown,3,161,1,-1,0,unknown,no
60,technician,married,secondary,no,316,no,no,cellular,4,545,2,263,4,failure,yes
49,technician,married,secondary,no,177,yes,yes,cellular,8,191,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,0,no,no,unknown,23,211,3,-1,0,unknown,no
34,management,married,tertiary,no,1267,yes,no,unknown,2,87,4,-1,0,unknown,no
54,housemaid,married,secondary,no,922,no,no,telephone,28,123,2,-1,0,unknown,no
40,management,married,primary,no,1231,yes,yes,unknown,15,184,2,-1,0,unknown,no
34,management,married,tertiary,no,714,yes,no,cellular,31,8,27,-1,0,unknown,no
33,technician,married,secondary,no,1029,yes,no,cellular,9,345,5,-1,0,unknown,no
31,unknown,single,tertiary,no,0,no,no,cellular,7,57,1,-1,0,unknown,no
48,technician,married,secondary,no,427,no,no,unknown,14,201,1,-1,0,unknown,no
27,unknown,single,tertiary,no,6421,no,no,telephone,28,147,4,-1,0,unknown,no
47,admin.,married,secondary,no,3936,yes,no,telephone,31,15,2,-1,0,unknown,no
32,admin.,single,secondary,no,-45,yes,no,cellular,20,68,1,325,2,other,no
31,housemaid,married,primary,no,-367,yes,yes,telephone,7,352,2,-1,0,unknown,no
40,blue-collar,married,primary,no,1136,yes,no,unknown,21,86,1,-1,0,unknown,no
32,technician,single,secondary,no,6402,yes,no,cellular,20,628,1,-1,0,unknown,yes
49,technician,married,secondary,no,673,yes,no,cellular,19,501,2,-1,0,unknown,no
29,technician,single,secondary,no,590,no,no,cellular,27,81,1,94,1,success,yes
31,technician,single,secondary,no,1014,yes,no,cellular,23,158,4,-1,0,unknown,no
37,services,married,secondary,no,0,yes,no,unknown,3,126,1,-1,0,unknown,no
83,retired,divorced,primary,no,46,no,no,cellular,25,115,1,-1,0,unknown,yes
28,blue-collar,married,secondary,no,4287,no,no,cellular,30,171,1,-1,0,unknown,no
40,management,married,tertiary,no,-4,yes,no,unknown,5,2033,1,-1,0,unknown,no
59,blue-collar,married,secondary,no,87,no,no,unknown,4,65,10,-1,0,unknown,no
24,self-employed,single,tertiary,no,2984,yes,no,unknown,27,935,1,-1,0,unknown,yes
38,blue-collar,married,primary,no,15477,no,no,unknown,20,114,2,-1,0,unknown,no
33,management,single,tertiary,no,5437,no,no,cellular,4,267,1,91,1,failure,yes
32,management,married,tertiary,no,3158,no,yes,cellular,5,142,1,-1,0,unknown,no
58,management,divorced,secondary,no,44,yes,no,cellular,29,147,1,195,1,other,no
43,self-employed,married,secondary,no,5704,yes,no,cellular,20,154,3,106,2,failure,no
35,blue-collar,married,unknown,no,1201,no,no,unknown,18,537,1,-1,0,unknown,yes
31,services,married,secondary,no,25,yes,yes,unknown,5,172,1,-1,0,unknown,no
35,management,divorced,tertiary,no,146,no,no,cellular,20,392,2,106,2,success,no
30,management,single,tertiary,no,533,no,no,cellular,4,365,4,-1,0,unknown,yes
60,blue-collar,married,primary,no,5788,yes,no,unknown,15,203,2,-1,0,unknown,no
46,entrepreneur,married,tertiary,no,0,yes,yes,cellular,6,37,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,43,no,no,cellular,15,354,8,-1,0,unknown,no
34,management,married,tertiary,no,1240,yes,no,cellular,21,102,1,-1,0,unknown,no
44,management,married,unknown,no,187,yes,no,unknown,7,185,1,-1,0,unknown,no
28,technician,single,tertiary,no,230,yes,no,cellular,20,505,3,-1,0,unknown,no
23,housemaid,single,primary,no,93,yes,no,cellular,18,70,3,-1,0,unknown,no
33,technician,married,tertiary,no,1699,no,no,cellular,4,600,1,-1,0,unknown,yes
44,unemployed,married,secondary,no,304,yes,no,unknown,12,129,2,-1,0,unknown,no
57,unknown,married,unknown,no,327,yes,no,unknown,28,74,2,-1,0,unknown,no
35,blue-collar,single,primary,no,3339,yes,no,unknown,6,304,2,-1,0,unknown,no
39,admin.,married,secondary,no,168,yes,no,cellular,19,183,1,-1,0,unknown,no
30,management,single,tertiary,no,2592,no,no,cellular,19,50,1,-1,0,unknown,no
23,services,single,secondary,no,-229,yes,yes,cellular,18,557,1,-1,0,unknown,no
19,student,single,unknown,no,1169,no,no,cellular,6,463,18,-1,0,unknown,no
39,management,divorced,tertiary,no,295,no,no,cellular,28,68,2,-1,0,unknown,no
59,retired,married,secondary,no,3,no,no,unknown,17,1199,2,-1,0,unknown,no
59,entrepreneur,divorced,unknown,no,0,no,no,unknown,17,956,2,-1,0,unknown,no
49,retired,married,primary,no,1672,no,no,cellular,17,128,3,-1,0,unknown,no
55,services,single,secondary,no,1126,yes,no,telephone,14,166,1,-1,0,unknown,no
76,retired,married,primary,no,1492,no,no,telephone,3,383,1,-1,0,unknown,yes
51,self-employed,married,tertiary,no,146,no,no,cellular,15,132,3,-1,0,unknown,no
35,blue-collar,married,secondary,no,-102,yes,no,cellular,14,334,3,-1,0,unknown,no
62,management,married,tertiary,no,10373,no,no,cellular,12,344,3,-1,0,unknown,no
35,admin.,married,secondary,no,-488,yes,no,unknown,2,97,4,-1,0,unknown,no
39,technician,single,secondary,no,1435,no,no,cellular,17,383,1,296,19,other,yes
53,retired,married,secondary,no,352,yes,no,telephone,20,58,5,-1,0,unknown,no
48,admin.,divorced,secondary,no,771,yes,no,unknown,2,133,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,-210,yes,no,unknown,8,21,1,-1,0,unknown,no
43,admin.,single,secondary,no,56831,no,no,unknown,15,243,1,-1,0,unknown,no
33,technician,single,tertiary,no,68,no,no,cellular,14,96,2,-1,0,unknown,no
47,self-employed,married,tertiary,no,751,no,no,cellular,24,408,14,-1,0,unknown,no
28,blue-collar,married,unknown,no,52,yes,no,unknown,13,226,1,-1,0,unknown,no
39,blue-collar,married,primary,no,1014,no,no,cellular,30,261,4,-1,0,unknown,no
35,blue-collar,married,secondary,no,577,no,no,cellular,13,55,1,364,1,failure,no
26,unemployed,single,secondary,no,622,no,no,cellular,28,1451,2,-1,0,unknown,yes
35,unemployed,single,secondary,no,947,yes,no,unknown,26,140,2,-1,0,unknown,no
29,technician,single,secondary,no,3851,no,no,cellular,2,59,2,-1,0,unknown,no
59,retired,divorced,primary,no,137,yes,yes,unknown,7,66,3,-1,0,unknown,no
56,management,married,tertiary,no,0,no,no,cellular,19,844,2,-1,0,unknown,no
59,retired,divorced,tertiary,no,439,no,yes,cellular,8,136,1,-1,0,unknown,no
41,unemployed,married,secondary,no,510,no,no,cellular,29,61,2,-1,0,unknown,no
51,technician,married,secondary,no,337,yes,no,cellular,20,687,4,-1,0,unknown,no
52,blue-collar,divorced,primary,no,0,no,no,cellular,20,19,1,-1,0,unknown,no
49,entrepreneur,married,primary,no,6188,no,no,cellular,18,453,1,-1,0,unknown,yes
33,services,married,secondary,no,248,yes,no,unknown,4,132,2,-1,0,unknown,no
37,management,married,tertiary,no,658,yes,no,cellular,5,838,1,-1,0,unknown,yes
71,self-employed,married,secondary,no,5946,no,no,cellular,3,59,7,-1,0,unknown,no
32,management,married,tertiary,no,1270,no,no,cellular,19,232,3,-1,0,unknown,yes
